COLUMN_NAME,DATA_TYPE,NULLABLE,DATA_DEFAULT,COLUMN_ID,COMMENTS,INSERTABLE,UPDATABLE,DELETABLE
FAIL_MO_PDP_CTX_ACT_REJ_SGW,NUMBER,Yes,,157,,YES,YES,YES
SUCC_MO_SEC_PDP_ACT_SGW,NUMBER,Yes,,158,,YES,YES,YES
FAIL_MO_SEC_PDP_ACT_REJ_SGW,NUMBER,Yes,,159,,YES,YES,YES
SGW_QOS_UPGRADE_REJECTED,NUMBER,Yes,,160,,YES,YES,YES
SUCC_PDP_MODIFY_BY_SGW,NUMBER,Yes,,161,,YES,YES,YES
FAIL_PDP_MODIFY_BY_SGW,NUMBER,Yes,,162,,YES,YES,YES
FINS_ID,NUMBER,No,,1,,YES,YES,YES
PAPU_INDEX,VARCHAR2(255),No,,2,,YES,YES,YES
MCC_ID,VARCHAR2(255),No,,3,,YES,YES,YES
MNC_ID,VARCHAR2(255),No,,4,,YES,YES,YES
LAC_ID,VARCHAR2(255),No,,5,,YES,YES,YES
RAC_ID,VARCHAR2(255),No,,6,,YES,YES,YES
CI_ID,VARCHAR2(255),No,,7,,YES,YES,YES
PERIOD_START_TIME,DATE,No,,8,,YES,YES,YES
PERIOD_DURATION,NUMBER,Yes,,9,,YES,YES,YES
PAPU_GROUP,NUMBER,Yes,,10,,YES,YES,YES
PAPU_PHY,NUMBER,Yes,,11,,YES,YES,YES
PAPU_CAPA,NUMBER,Yes,,12,,YES,YES,YES
PAPU_SM,NUMBER,Yes,,13,,YES,YES,YES
RTPDP_CAPA,NUMBER,Yes,,14,,YES,YES,YES
ABL_RTPDP,NUMBER,Yes,,15,,YES,YES,YES
BL_RTPDP,NUMBER,Yes,,16,,YES,YES,YES
SUCC_MO_PDP_CONTEXT_ACT,NUMBER,Yes,,17,,YES,YES,YES
FAIL_MO_PDP_CONTEXT_ACT,NUMBER,Yes,,18,,YES,YES,YES
SUCC_MO_PDP_CONTEXT_DEACT,NUMBER,Yes,,19,,YES,YES,YES
FAIL_MO_PDP_CONTEXT_DEACT,NUMBER,Yes,,20,,YES,YES,YES
SUCC_NWR_PDP_CONTEXT_DEACT,NUMBER,Yes,,21,,YES,YES,YES
FAIL_NWR_PDP_CONTEXT_DEACT,NUMBER,Yes,,22,,YES,YES,YES
SUCC_PDP_CONT_MODIFY_SERVICES,NUMBER,Yes,,23,,YES,YES,YES
FAIL_PDP_CONT_MODIFY_SERVICES,NUMBER,Yes,,24,,YES,YES,YES
SUCC_PDP_CONTEXT_PARAM_CHANGES,NUMBER,Yes,,25,,YES,YES,YES
FAIL_PDP_CONT_PARAM_CHANGES,NUMBER,Yes,,26,,YES,YES,YES
SUCC_PDP_CONT_DEACT_SERVICES,NUMBER,Yes,,27,,YES,YES,YES
FAIL_PDP_CONT_DEACT_SERVICES,NUMBER,Yes,,28,,YES,YES,YES
SUCC_IMPL_PDP_CONTEXT_DEACT,NUMBER,Yes,,29,,YES,YES,YES
FAIL_IMPL_PDP_CONTEXT_DEACT,NUMBER,Yes,,30,,YES,YES,YES
FAIL_MO_PDP_ACT_WRONG_PASSWORD,NUMBER,Yes,,31,,YES,YES,YES
FAIL_MO_PDP_ACT_INV_PDP_ACTMSG,NUMBER,Yes,,32,,YES,YES,YES
SUCC_IMPL_DEACT_SERV_MSRT_EXP,NUMBER,Yes,,33,,YES,YES,YES
FAIL_MO_PDP_ACT_INSUF_RES,NUMBER,Yes,,34,,YES,YES,YES
